,generation,best_reward,mean_reward,worst_reward
157,158,885.8612638955805,784.7199752225296,545.5961774093728
158,159,854.8754172870182,767.191970884651,545.5178460836973
159,160,860.3776837632906,739.1373542177171,453.21061921286343
160,161,838.1157495338017,767.1698649218924,641.5190171366881
161,162,884.7734089105801,764.6368707141205,580.7110686389066
162,163,854.5762808885229,760.6303687615134,593.1179444905566
163,164,878.051918978289,784.3367680321415,477.1839543892655
164,165,853.0662897874923,765.1213945043748,606.2054064793874
165,166,857.2539451985473,777.4578378358349,648.1060146189571
166,167,901.0800666219548,751.2960500696421,562.6819371028054
167,168,884.1545347612816,780.0258938519179,689.4886931055486
168,169,881.2534604848992,764.5490887388858,606.868998107505
169,170,900.6568635327379,761.9334670437381,501.8649218447063
170,171,874.1255956692096,782.3433462370966,649.2720932734143
171,172,891.0536042361184,750.0902279197473,617.4332156692868
172,173,853.6869782562413,760.7778271211835,592.0982913157593
173,174,884.8313912190445,770.2511116530757,503.4725104687046
174,175,887.1546289636701,773.6198799402001,518.7898623050363
175,176,868.2217790891073,760.3918413225973,437.2764297910959
176,177,900.3692828406994,740.6963066140817,341.7256143494139
177,178,877.5294922665452,709.0057772117492,473.3240878435049
178,179,877.7672217353404,715.3623566504306,401.0693956874235
179,180,856.6064469696809,748.0789659085882,618.3760010736345
180,181,900.2543351984046,741.5009280677742,353.2780254157586
181,182,881.9383438525659,758.4214522463715,486.34482739927904
182,183,867.9107215689252,805.1060142724367,665.8651575498558
183,184,875.0967716221076,782.8301513168003,663.3338723096887
184,185,879.3945629606824,813.7976341984602,728.2687180456363
185,186,892.7797854664633,778.6248026754472,602.7156636057917
186,187,877.778830354454,793.1122684053626,530.7958477540626
187,188,864.6623607839347,752.4843957083773,633.0078972251065
188,189,872.2056689836448,763.7106227147432,600.0772340280548
189,190,890.877913210276,782.9240879228735,592.4336396146954
190,191,843.4388809468302,765.6707456507351,615.7433139449631
191,192,876.9928962567717,794.8162271876355,713.0359852308563
192,193,864.6700782884334,759.5770639831609,527.8299684621564
193,194,870.7353241226168,754.2233981329243,486.3964294502551
194,195,883.880582645741,779.8449857654508,625.9843513507366
195,196,874.7859216152532,812.2461358610913,585.8318038293273
196,197,884.1984128625791,784.2322439850628,621.8786983037189
197,198,870.722486770841,794.2103739525381,640.8013131801208
198,199,885.2003832603748,761.0476710031373,624.9644713740981
199,200,863.618591245402,731.4554220751602,535.1804823390263
